batch_size,N,K,library,gflops
128,512,512,cublas,1763.7
128,4096,4096,cublas,40136.1
128,14336,4096,cublas,43939.2
128,4096,1024,cublas,23702.9
128,1024,4096,cublas,23813.8
256,512,512,cublas,6373.11
256,4096,4096,cublas,44844.6
256,14336,4096,cublas,44197.4
256,4096,1024,cublas,31460.4
256,1024,4096,cublas,32552.4
384,512,512,cublas,7734.41
384,4096,4096,cublas,42426.6
384,14336,4096,cublas,47893.4
384,4096,1024,cublas,34214.1
384,1024,4096,cublas,36835.1
512,512,512,cublas,10380.3
512,4096,4096,cublas,43553
512,14336,4096,cublas,48317.2
512,4096,1024,cublas,36596.8
512,1024,4096,cublas,40117.8
640,512,512,cublas,11626.6
640,4096,4096,cublas,44571.4
640,14336,4096,cublas,47231.8
640,4096,1024,cublas,36445.2
640,1024,4096,cublas,38557.2
768,512,512,cublas,13937.5
768,4096,4096,cublas,45404.7
768,14336,4096,cublas,48566.7
768,4096,1024,cublas,38062.7
768,1024,4096,cublas,39104.4
896,512,512,cublas,14409.9
896,4096,4096,cublas,44528.1
896,14336,4096,cublas,50198.3
896,4096,1024,cublas,40555.7
896,1024,4096,cublas,36847.9
1024,512,512,cublas,16952
1024,4096,4096,cublas,50308.8
1024,14336,4096,cublas,48633.2
1024,4096,1024,cublas,46651.5
1024,1024,4096,cublas,45106
1152,512,512,cublas,15902.6
1152,4096,4096,cublas,44532.2
1152,14336,4096,cublas,48782.4
1152,4096,1024,cublas,38573.1
1152,1024,4096,cublas,38599.3
1280,512,512,cublas,18411.7
1280,4096,4096,cublas,47649
1280,14336,4096,cublas,49858.4
1280,4096,1024,cublas,39496.3
1280,1024,4096,cublas,43332.9
1408,512,512,cublas,19395.6
1408,4096,4096,cublas,50059.7
1408,14336,4096,cublas,50634
1408,4096,1024,cublas,39418.1
1408,1024,4096,cublas,47066
1536,512,512,cublas,20771.9
1536,4096,4096,cublas,47907.9
1536,14336,4096,cublas,48922.1
1536,4096,1024,cublas,39718.1
1536,1024,4096,cublas,45476.8
1664,512,512,cublas,21499.2
1664,4096,4096,cublas,47628.8
1664,14336,4096,cublas,49735.4
1664,4096,1024,cublas,40052.5
1664,1024,4096,cublas,43382.3
1792,512,512,cublas,23169.5
1792,4096,4096,cublas,47967.6
1792,14336,4096,cublas,52926.1
1792,4096,1024,cublas,41192.6
1792,1024,4096,cublas,46827.1
1920,512,512,cublas,24001.7
1920,4096,4096,cublas,48617.7
1920,14336,4096,cublas,49150.3
1920,4096,1024,cublas,45586.6
1920,1024,4096,cublas,44440.6
2048,512,512,cublas,25300.2
2048,4096,4096,cublas,51522.5
2048,14336,4096,cublas,51829.7
2048,4096,1024,cublas,48399.7
2048,1024,4096,cublas,46970.6
128,512,512,cutlass,5982.03
256,512,512,cutlass,11897.7
384,512,512,cutlass,17881.4
512,512,512,cutlass,23790.6
640,512,512,cutlass,29095.9
768,512,512,cutlass,34844.6
896,512,512,cutlass,40414.2
1024,512,512,cutlass,46068.6
1152,512,512,cutlass,51908.3
1280,512,512,cutlass,57390.8
1408,512,512,cutlass,62932.2
1536,512,512,cutlass,68728.1
1664,512,512,cutlass,72993.1
1792,512,512,cutlass,78348.4
1920,512,512,cutlass,83513.2
2048,512,512,cutlass,89343.5
128,1024,4096,cutlass,24655.6
256,1024,4096,cutlass,49251.4
384,1024,4096,cutlass,73694.9
512,1024,4096,cutlass,98809.5
640,1024,4096,cutlass,123047
768,1024,4096,cutlass,147398
896,1024,4096,cutlass,171899
1024,1024,4096,cutlass,197310
1152,1024,4096,cutlass,221216
1280,1024,4096,cutlass,245563
1408,1024,4096,cutlass,269288
1536,1024,4096,cutlass,293023
1664,1024,4096,cutlass,316456
1792,1024,4096,cutlass,340030
1920,1024,4096,cutlass,362075
2048,1024,4096,cutlass,384080
128,4096,1024,cutlass,64094
256,4096,1024,cutlass,127873
384,4096,1024,cutlass,190775
512,4096,1024,cutlass,255392
640,4096,1024,cutlass,320874
768,4096,1024,cutlass,383437
896,4096,1024,cutlass,440364
1024,4096,1024,cutlass,483556
1152,4096,1024,cutlass,337210
1280,4096,1024,cutlass,370176
1408,4096,1024,cutlass,406755
1536,4096,1024,cutlass,443957
1664,4096,1024,cutlass,476284
1792,4096,1024,cutlass,512631
1920,4096,1024,cutlass,548136
2048,4096,1024,cutlass,579339
128,14336,4096,cutlass,284013
256,14336,4096,cutlass,537042
384,14336,4096,cutlass,476727
512,14336,4096,cutlass,647418
640,14336,4096,cutlass,544222
768,14336,4096,cutlass,663017
896,14336,4096,cutlass,739616
1024,14336,4096,cutlass,664783
1152,14336,4096,cutlass,752575
1280,14336,4096,cutlass,692760
1408,14336,4096,cutlass,790978
1536,14336,4096,cutlass,714459
1664,14336,4096,cutlass,770385
1792,14336,4096,cutlass,836654
1920,14336,4096,cutlass,767690
2048,14336,4096,cutlass,848359
2048,4096,4096,cutlass,796077
1920,4096,4096,cutlass,750909
1792,4096,4096,cutlass,699513
1024,4096,4096,cutlass,681946
896,4096,4096,cutlass,650623
1664,4096,4096,cutlass,642874
1536,4096,4096,cutlass,592373
768,4096,4096,cutlass,570550
1408,4096,4096,cutlass,539665
1280,4096,4096,cutlass,485950
640,4096,4096,cutlass,475459
1152,4096,4096,cutlass,440924
512,4096,4096,cutlass,383083
384,4096,4096,cutlass,287667
256,4096,4096,cutlass,191956
128,4096,4096,cutlass,96614.4
